Student,Response,Analysis,Explanation,Critique,Advance Claim
E 347,"The reasons of the flooding could be because of, the changes in the, Natural Areas, but every time it changes, it goes lower. When it does change it doesnêt change that much. It only changes like a few less. I donêt see how the flooding could be because of the areas, or the Developed-Impermeable Surfaces because, the areas have nothing to do about it. To me it looks like they need some dams. If they build some dams, there would be no flooding, and their problem would be solved. The story says, Developed-Impermeable Surfaces is materials that keep the water out, so what they need to do is, make more Developed-Impermeable Surfaces and their problem will be solved. What else would fix their problem is, stop making so much Developed-permeable surfaces because, thatês what allows the water to come in. I think that Natural Areas have nothing to do with it because, thatês just forest, or the woods. Graph number two says that the Natural Areas are going down, so how is flooding happening because the changes in the Natural Areas? Charleston is saying that flooding didnêt start happening until 2005, but thatês when the natural Areas, was the lowest. I think the solution would be, build a dam, or build more, Developed-Impermeable Surfaces.",,,,
E 348,The flooding problems are due to the increases in developed land areas with impermeable surfaces. The local meteorologist claim is wrong because the data on graph 2 shows that the natural land is going away and there is more soccer fields than natural land and the developed permeable surfaces have grown more and developed permeable surfaces gain more water thatês why there is a increase in flooding in Charleston precipitation is not the problem of the flooding.,,,,
E 349," Charlestonês flooding problems are due to the increase in developed land areas with impermeable surfaces. I think the meteorologist is right because he said the annual precipitation data show that rain and snowfall in the area have increase steadily since about 2005.Flooding had never been a problem for Charleston until about 2005,but the floods have increase in frequency ever since. In 1963 the precipitation patterns in Charleston had went up to 52, then 1983 it went down to 33, back up in 2003 to 33-34, then the precipitation up and 2013 to 60.In graph 2 the changes in land areas coverage in Charleston by the most is Natural Areas. The least is Developed-permeable surfaces and the most, most is Developed-impermeable surface.  Till then it stay down and got heavier ever time it rains. A critique of the meteorologistês argument is inaccurate because it said he said the flooding didnêt come a problem until 2005. The Charleston had notice the city flood each time it rains.",3,2,3,2
E 350,"The local meteorologists had said –The cause of Charlestonês flooding problem is the increased precipitation. The annual precipitation data shows that rain and snowfall in the area have increased steadily since about 2005. Flooding did not become a problem for the city until 2005. Therefore, increased precipitation has led to local flooding.” But I believe Charlestonês flooding problems are due to the increases in developed land areas with impermeable surfaces. I believe this because as the developed impermeable surfaces increased so did the precipitation patterns. In 1973 the impermeable surfaces was 13 but the precipitation was around 52. As the impermeable surfaces began to change so did the pattern, the natural areas continued to get lower as the impermeable surfaces continued to get higher. But one day in 2013 the impermeable surfaces was the highest it has ever been and the precipitation was the highest too. Therefore I believe that only the impermeable surfaces had an impact on the precipitation because the precipitation was not at its highest when the natural areas or developed permeable surfaces were high. Also I think my evidence supports the claim –Charlestonês flooding problems are due to the increases in developed land areas with impermeable surfaces,” because I took my observations from both graphs and stated it in my argument. The reason why I believed the meteorologist reasoning is inaccurate is because in both graphs it never stated the precipitation or changes in land covering, in Charleston, in 2005. So that leads me to believe that he guessed. So if the meteorologist guessed thatês not helping us solve the flooding problem in Charleston, which again means his statement was inaccurate.",,,,
E 351,"In the city Charleston had a flooding problem in 2005 because of rain and snow. In a local middle school science class, they were investigating the flooding problem. They investigate on a Developed-impermeable surface, a Developed _permeable surface, and Natural areas. In the Developed-impermeable surface, are lands use divide into three categories, in the Developed-permeable surface, humans have created buildings and roads, and in Natural areas are spaces that have not been developed by humans. The local meteorologistsê claim in 2005 the numbers increase until 2013. ",,,,
E 352,Charlestonês flood problems are due to increase in developing land areas because in 1973 we only had 13 developed impermeable surfaces but in 2013 we had 36 developed impermeable surfaces which caused the flood because houses and streets is not soaking the water up and thatês causing it to flood. ,,,,
E 353,"Charlestonês flooding problems are due to the increases and decreases in developed land areas with impermeable surfaces. The local meteorologistês claim is inaccurate because in the area it hasnêt increased steadily since about 2005. From graph #1 what it shows is how Animal Average Precipitation (inch) changes each year. And in graph #2 what it shows is how the Changes in land Area Coverage in Charleston each year. From the information that I got from the graphs I can tell that precipitation patters and the changes in land area change constantly. It really doesnêt have a pattern to go with or to tell what the next change will be. I diffidently disagree from what the meteorologist says and what its conclusion is because the problem isnêt the precipitation is being increased. There are more changes then just being increased. There are times that it is also being decreased not just increased as I said you will not be able to tell whether is it going to decrease or increase next year because it has a lot of changes. A lot decreasing and a lot of increasing are going on, in Charleston. In graph #1 around 1963 the average is between 50 and 60 which is high, in 1973-1983 the average goes down to be between 30 and 40. In 1993 it kind of goes high a little bit to be between 40 and from 2003-2013 it goes up higher to be by the 60ês. In graph #2 I can tell that it does have a pattern to go with, each year it decreases and in graph #1 you canêt tell if itês going to increase or decrease.",,,,
E 354," Graph 2: Based off the fact that there are more natural areas than both developed permeable and impermeable surfaces; the water would have to go somewhere. And seeing that the roots of the trees and all other forms of plant life in Charleston would have to consume Iêd say about 39.5% of the water because the amount of water consumed depends on how old or big the tree or other form of plant life is. Say a 150 year old oak tree its roots would be somewhere to 8-10 feet long and about 1-2 feet thick so it would have a maximum capacity of about 5-10 gallons of water in total because the diameter of the roots would recalibrate and start to curve causing a circular chamber like a spiral staircase. Graph 1: After examining graphês 1 and 2 I see that the decrease in Natural Areas had caused a slight fall then it continuously started to rise and fall until the developed permeable surfaces had risen to be almost equal to the same quantity as the natural areas there was a slight difference in the developed surfaces seeing that the impermeable surfaces had started to cover more and the Natural land coverage had gone down because of the rise of the amount of buildings allowing more impermeable surfaces to be made. The meteorologist is incorrect or inaccurate because he does not know the independent variable for this investigation, every investigation, experiment, etc. Needs to have both an independent and dependent variable for the experiment to be able to actually work, the independent variable would have to be what causes the exceeding amounts of rain so, rain is water that is evaporated condensed and released from storm or rain clouds because the maximum capacity has been reached to where it has to start over again. This is known as the water cycle, the water cycle is how water or rain makes its way from Oceans, Rivers, and Lakes to being steam or mist that heats up like and floats upwards like helium in a balloon. I say that the independent variable is sunlight and the dependent variable is actually the amount of rain that falls every year in Charleston.  A constant variable in this experiment would be the number years passed and if Charleston had actually flooded or not. Iêm saying this because how else would an area like Charleston be able to flood if it didnêt have enough Natural Areas to soak up the rain but enough rooftops of buildings to hold in the rain until it overflows and ends up flooding? The amount of buildings with caved in rooftops would be another variable in this experiment because if there were 30 buildings with a rectangular rooftop of 10x30 in feet then that would allow almost 1000 feet in rain to fall onto the streets and potentially end up flooding the town in just a small amount of time then again it actually depends on the rate that the rain is actually falling at. The temperature would also play a part in the amount of rain because it would depend on the amount of water that was actually evaporated in the amount of time that the sun was in temperatures hot enough to evaporate partial bodies of water to make it actually able to compact enough rain to fill a cloud and make the cloud to be in Charleston. The reason Iêm stating what I think is because Iêm pulling information from what I know from science already and putting it to use and using other resources like the graphs on the paper that show the yearly rate of rain in a span of 10 years it is showing how much rain is actually falling per decade for every time it actually floods Charleston it means there would have been enough rain to potentially fill more than 300 bottles of water and seal it off completely.",2,1,2,0
E 355,(no content),,,,
E 356,"The Charleston flooding issue is due to the amount of building that has gown of the last 50 years. Ever since 1973 them, highest rain fall amount in the 20th century, has shown that if we build the buildings and housing too much it in too little of time then we will see some changes in the weather, Because the humans are changing the environment in that area the earth has to compensate for that by putting more water of what the world need in the area. In graph 2 it give the date over the natural areas developed permeable surfaces, and developed impermiable surfaces. In a time of 50 years the developed impermiable surfaces has gone up 23 places for building. The developed permeable surfaces have also gone up but by 7. In that the natural areas have been going down in the number of spots by 30. So where the humans are building they tacking away the soil and the absorption from the ground. When it rains the natural areas canêt absorb that much rain that is falling in a short amount of time because they arenêt as many natural place for the rain to feed the plants and trees and all of the things in the natural areas. The meteorologist says that wrong. He says that the rain fall has gone up steadily. But he does not have the date that can prove what he is saying. But the children do the graph that show the rain fall says that the in 1973 the town of Charleston all most his the 60 inch mark. It is 55-57 then it takes a big drop in 83 to about 31-33 inch range. It went up about ten in 93. The rain went down again in 2003 to 30-31. The sky rocked in 2013 to 60 inch mark. If that is steady to a meteorologist then he needs to go fine a new job because look at all that movement from 1973 to 2013 it got from 50ês to the 30ês and back up to the 60 inch mark. The meteorologist should have said I think this because from 1973 to 2013 it is in the same area. The students would say but it went down to the 30ês in 1983-2003. Then they would say, where your evidence. The students would win because they gave the evidence to support what they were saying the to the meteorologist. They had a graph they had the developments. So in the end thatês why all flooding is happening in the town of Charleston. Add more natural places in Charleston.",,,,
E 357,"–The cause of Charlestonês flooding problem is the increased precipitation. The annual precipitation data show that rain and snowfall in the area have increased steadily since about 2005.Flooding did not become a problem for the city until 2005. Therefore, increased precipitation has led to local flooding.” Well you meteorologist person, I have something to say about that. Your argument is inaccurate because if there is an increased amount of precipitation, the water cycle tells us that there would be an increased amount of runoff and there would be collection and it would start over again. So it would be fine. But since itês not fine and Charleston is still getting overwhelmed by flooding, this meteorologist is incorrect. There has to be another reason and I know exactly what the reason is. Charlestonês flooding problem isnêt because of the increased precipitation since 2003, but rather because of the amount of developed land areas with permeable surfaces since 2003 (Developed impermeable surfaces are areas that humans have created with materials that do not allow water to pass through them). This is because of the water cycle. The water cycle says that after precipitation comes runoff, then collection. But there has mas been decrease of the amount of places for the water to run off and collect at because of the amount of developed impermeable surfaces that have been steadily increasing in creation since 2003. Since there are not many places to run off to, more precipitation starts melting and collecting on the surface, not going to collect somewhere that is made out of materials soft enough that water can pass through, which are known as developed-permeable surfaces. Donêt get me wrong, on the graph it shows that the amount of developed-permeable surfaces in Charleston are increasing over time, but not fast as the precipitation is increasing. My evidence supports my claim because I gave reasons that make since and I know that if that town of Charleston came up with a solution that was based on my reasons, *cough cough make more developed-permeable surfaces cough cough*, they would have no more problems with flooding.",,,,
E 358,In the data that I collated I say it was increase once in a year or more. In 1973 it stared at 13% develop-imperiable. Then it steady the same it 1983. In 1993 it went up now it at 15% which it got high. In 2003 it went up to 21% which is getting higher each time. In 2013 it went up to 36% which it got higher. Most of it was going up but in 1973 and 1983 the were both   ,1,0,0,0
E 359,"Charleston flooding problems are due to the increases in the developed land areas with impermeable surfaces. The meteorologistês claim is wrong because the people there who have been making the sidewalks, buildings, and roads made them out of materials that donêt allow water to go through the impermeable surfaces. So when the people started making more impermeable surfaces when it rained the rain wouldnêt go through the sidewalks or other stuff so it started to flood even more. Charleston flooding problems are due to the increases because of the large increases developed impermeable surfaces during the years 2003-2013 which increased by 15 more. Ever since the population has been increasing which means more impermeable surfaces. ",,,,
E 360,"I think the reason Charleston is having all these flooding problems are because all the new stuff they are building there it might have a cause in the flooding problem. The reason I think that is because in the article it says –Flooding had never been a problem for Charleston until about 2005, but the floods have increased ever since”. And it said the city has built new roads, buildings, sidewalks and parking lots. The data the school had is that in the year of 2003-2013 the percentage of flooding in Charleston has increased since they had built more stuff. And in the 1990ês the percent of the flooding there was increasing and decreasing as time went on. This is why I think the meteorologists that gave his input is wrong. In his claim he doesnêt say anything on how the building and roads and stuff like that affected the city of Charleston.",2,2,3,0
E 361,"Charleston is a town founded in the early 1900s.It has grown a lot in the past couple years. Recently the citizens have seen lots of flooding every time it rains heavily. A local middle school science class is investigating on this problem; they have looked at the data over the past 50 years. The middle school science class has come up with two graphs. The first graph explains the precipitation patterns in Charleston; the next graph shows changes in land area coverage in Charleston. The class invited local metrologies to examine their data. Charleston flooding problems are due to the increases in development land areas with impermeable surfaces. The meteorologist is wrong because he said Charleston flooding problems are from the increased precipitation. Just because it rains more does not mean it always floods. People can prevent flooding in their houses, by raising their houses. Another way to prevent flooding is to not build so many more shops or places to eat leave some grassy areas. –Flooding did not become a problem until 2005.”From the text it says –it has grown a lot over the last 10 years”. Graph 2 tells us 2013 there were 45 naturel areas, 36 developed- impermeable surfaces, and 19 developed-permeable surfaces. There were 30 more naturel areas in 1973, and 7 less developed-permeable surfaces. Charleston has changed a lot since the town first opened.",2,2,2,3
E 362,"Charlestonês flooding problems are due to the increase in developed land areas with impermeable surfaces. This is true because about 2005 is when Developed-Impermeable surfaces increased. Impermeable surfaces are surfaces that humans have created with materials that do not allow water to go through like sidewalks, buildings, and roads. When water cannot go anywhere, it will start to stay together and will become something like a swimming pool, which some will think of when they think of floods. The meteorologists claim is inaccurate because even though precipitation is one of the problems, itês not the whole reason. Rain and snow falls lots of places, and doesnêt flood. Natural areas or Developed-Permeable areas could help a lot because in these places, there is somewhere for water to go. It wouldnêt just build up in one place. In 1973 the reason for less floods is because there were more Natural Areas, places where water could flow. ",,,,
E 363,"I believe that the meteorologistsê argument is wrong because if the land increases that actually shows less of a chance of flooding in the cities or states next to the water. But I still think that will hurt the human population because of water loss. I would say the pattern is random from my point of view. From all I know about floods is that they do not happen because of land gain I think it is just the wind and how the wind will push force against the water and pick up force and pus hit towards land. What heês saying is that there is some kind of pattern like flood on certain dates. I however looked it up and found out that waves are actually the most common things on beaches and will have some big enough to reach up to the cities or states by the beach. Floods are one of very little numbers uncommon catastrophes that are in the world like tornadoes or hurricanes or maybe forest fires. I think the flood is not one of the most common like little waves, or rain, or thunder, or maybe even a little bonfire around a wood house something that can be stopped quickly or can be stopped at all. My way of saying Charlestonês problem of floods is wrong because water decreasing is something that many people use too much water so thatês why water is decreasing. ",,,,
E 364,"It is my belief that Charlestonês flooding problems are due to the increases in developed land areas with impermeable surfaces. In 1973-2003 the percentage of natural areas far exceeded the percentage of developed land. As the percentage of developed impermeable land grew, the amount of flooding increased. The data all supports this clearly. The claim that the cause of the flooding is increased precipitation is inaccurate. The reason is that in 1973 the city had a similar amount of rainfall compared to today. So if the claim was accurate there would have been flooding in 1973. But there isnêt so the claim is inaccurate. These are the reasons that the flooding in Charleston is caused by the increases in developed land areas with impermeable surfaces.",4,2,4,2
E 365,In the year of 1936 the annual average precipitation was 52 inches in 1973 the precipitation got higher but in the year 1983 the numbers took a down fall to 33 was that good or bad? As time went on the numbers was up in down year 1993 the average amount of precipitation was 41 the next year took another down fall this time lower than it has ever been before in the year 2003 the precipitation level was at 31 but in the year 2013 it was very different it was the highest of all of these yearês in 2013 the average precipitation was at 60 the highest of them all.   Changes in land Area Coverage in Charleston.    In 1973 the percentages of the natural Areas was 75per that is the highest so far in 1973 the developed-permeable surfaces is at 12per thatês pretty low for the developed permeable surfaces .still in the year 1973 the developed-Impermiable surfaces is at 13per. Year 1983 the natural Areas is at 72per  the second highest on this chart. Based on this data I see that the natural Areas that they are high in the precipitation is low in year 1983 the precipitation is low but the natural Areas was high just because it rains it does not flood thatês how I know the claim was wrong that the meteorologist  made.,,,,
E 366,The Charleston problem are due to the increases in developed land areas with impermeable surface this is inaccurate because in the text it said that flooding has never been a problem until 2005.But the floods have increased in a frequency ever since. In 2003 the flooding went down for a while then it raised. Then 2013 came by and it came all back up again. In 1963 the precipitation ,0,1,0,0
E 367,"In Charleston there has been a large increase of flooding in Charleston so a local middle school did an investigation on the flooding. I believe that the meteorologistês claim –The cause of Charlestonês flooding problem is the increased precipitation. The annual precipitation data shows that rain and snowfall in the area have increased steadily since about 2005. Flooding did not become a problem for the city until 2005. Therefore, increased precipitation has led to local flooding,” is inaccurate because they already know that the flooding is coming from the rain so the meteorologist needs to tell them more on the increasing precipitation averages. I believe that the flooding is due from the increases in developed land areas with impermeable surfaces because the water canêt observe into the impermeable surfaces so all the water is not going anywhere when a big storm is hitting Charleston. Also because there has been a major increase in developed impermeable surfaces so that made the water not able to go anywhere when it starts to rain. ",,,,
E 368,–Charlestonês flooding problems are due to the increases in developed land areas with impermeable surfaces” tell why the local meteorologistês claim in inaccurate”. Well I think the meteorologist claim is inaccurate because the meteorologist said •flooding problems are due to the increases in developed land areas with impermeable surfaces”? Hold on letês stop right there. Impermeable means- not allowing fluid to pass through. The reason there are floods is because of the heavy rain fall thatês why they have floods in the first place so I find this to be 100% inaccurate. This will conclude my statement.,,,,
E 369,"Charlestonês flooding problems are due to the increases in developed land areas with impermeable surfaces. In graph 1 it was so hiy in 1963 it was up to 50 but in 1983 it got a little low it wasin 30 in 2013 it was up up to 60 more than 1963, 1983 and 2013 it incres a lot in 2013 I bet it was so horbol for some familyês I hoppy that they will be ok and get over the next and whont get herte to much maby just a fery cuts but not brok lag or arm. The sidewaiks  buildungs and roads are cosin more fluds becusa the water have no wher to go it ushle go it the grass but that hane more buildings  so it have mo wereto go to no more.",,,,
E 370,"I think that the meteorologistês claim is inaccurate. I know this because the water cycle goes evaporation, condensation, precipitation and then over again. The meteorologist is saying that the cause of the local flooding in Charleston is an increase in precipitation. The meteorologists said that the increase in precipitation is causing the local flooding. They said that the reason she believes this is true is because in 2005, the precipitation increased and thatês when the local flooding started.  But, in graph one, there was an increase, in 2005, of precipitation, but there was a decrease in 2006. It then, the precipitation, increased shortly after. The meteorologists claim is inaccurate because they couldnêt support it with any evidence. They had no way of proving it because the graph said otherwise. Their claim, denied. They were inaccurate and didnêt support their answer with enough evidence to prove their statement, therefore being inaccurate. To be accurate, the meteorologists would have to support their answer.  If they were to state how they came to that conclusion they would be successful in the long run. They stated that the precipitation increased in2005. The precipitation actually increased in 2006, according to the graphs.  There was a bit of confusion. But, when is there never when using a graph. The meteorologist claim would have been a bit more accurate if they had chosen a better graph and made the graph more accurate. Otherwise whoever reads this graph will get confused. I know I did. Whoês to say that that wonêt happen to anybody else? And it obviously did confuse the meteorologist. But, thatês okay. ",2,0,3,0
E 371,"The meteorologistês argument is inaccurate because the flooding is due to the increase in developed land areas with impermeable surfaces, and the flooding isnêt due to the increase of precipitation. Developed impermeable surfaces are areas that humans have created with materials that do not allow water to go through sidewalks, buildings, and roads. For this reason the precipitation is stuck outside in the air and on the ground and the more precipitation that falls from the ground is the more precipitation that is building up outside of the buildings and because the precipitation isnêt being sucked through the cracks of sidewalks and the roads the precipitation is clogging up and increasing which is why Charleston is having a flooding problem. Not only did the meteorologist mistake that there was too mu8ch rain falling, but he/she had mistaken that the precipitation had nowhere to go when it had fallen from the sky so its only other choice was to build up and after it gets so high Charleston is flooding. Now if the local middle school would have gone with something more like developed permeable surfaces the precipitation could have precipitated into the soccer fields which would give the precipitation somewhere to go and  Charleston would have less floods.",3,4,3,4
E 372,"The local meteorologistês claim is in accurate because, water canêt just increase it has a way of   changing through its process so it canêt just keep increasing. Also in the graphs you can see it did not start flooding until a couple years after 2005 because, you can see that t line is at its lowest around 2005 so it couldnêt have been flooding in that year. I think the reason Charleston keeps flooding is because of the increase in developed land areas with impermeable surfaces. The developed areas with impermeable surfaces keep water from going through the soil so it builds up and then its starts a flood. In Graph 2 you can see that between 2003 and 2013 that the amount of developed impermeable surfaces increase in a large amount of 14 percent, more than any other years. ",,,,
E 373,"Charlestonês flooding problems are due to the increase throughout the 10 years theyêve been having flood problems. Students are going to investigating the problem and collect data from the past 50 years to get everything straightened out easily. The meteorologists claim was inaccurate because as it said in the article, –Rain and snowfall in the area have increased steadily since about 2005. Flooding did not become a problem for the city until 2005.” Which means they had at least more than 4 years to stop the many caused flood problems after building house, schools, sidewalks, and parking lots because we had to keep in-mind all the humans needed a place to stay they couldnêt really be anywhere because of the many floods that hit that year. Evidence Iêve provided to make that statement was –Recently, the citizens of Charleston have noticed that the city floods each time it rains heavily. It never was a problem until 05” Why? Because the rain fall increased every time it rained it would be expected to be higher each time. ",,,,
E 374,"Students at a local middle school studied and collected data from the precipitation in a 50 year time period, and the amounts of land for their different reasons/purposes. The land was put into 3 different forums/categories:  A was •êDeveloped-impermeable surfaces.êê  B was •êdeveloped-permeable surfaces.êê  And C was •ê natural areas.êê Each one determined how much rain or snow they receive. Students made two graphs one was the •êprecipitation patterns in Charleston (1963-2013) êê and the other one was •ê Changes in land area coverage in Charlestonêê. The class brought a meteorologist to look at their data on the graphs.  The meteorologist looked at the graphs and determined that the precipitation was the one that caused the flooding. I personally disagree with the meteorologist statement because the reason there is flooding depends on the land, and the land is what the precipitation falls on.",,,,
E 375,The local meteorologist is inaccurate because the rain and snow do not make a difference. What makes a difference is the amount of natural and permeable surfaces also the impermeable surfaces. My claim is that there is not enough ways for the rain water to get to the ocean or a lake or river so Charleston needs to make more ways for water to get off the roads and sidewalks like drains or make rivers that run across the sides of the roads. The rivers would make it convenient for all types of vehicles.,0,1,2,0
E 376,"Charlestonês flooding problems are due to the increase in development land areas with impermeable surfaces. There flooding problems arenêt because of precipitation like the meteorologist said. My claim states that the meteorologist is wrong. All though the meteorologist was true in some ways like when him/her said that the flooding started in 2005. That was the only thing that the meteorologist was right about. Natural Areas arenêt the problem either. The natural areas donêt cause flooding. Natural areas are spaces that have not been developed by humans like forest areas. Developed-permeable Surfaces also arenêt the problem. Developed-permeable Surfaces would also help flooding stop. A developed-permeable surface is areas that humans have created with materials that allow water to go through like soccer fields covered with grass. Developed-impermeable Surfaces are the problem. These surfaces are what cause flooding to happen. They donêt help flooding stop. A developed-impermeable surface is an area that humans have created with materials that do not allow water to go through such as sidewalks, buildings, and roads. Charleston has made many homes, schools, roads, sidewalks, and parking lots. With the city making even more of these surfaces, they are making more floods happen without even knowing. If the city wants to stop floods from happening they need to stop building developed impermeable surfaces.",,,,
E 377,People lives are flooding away from their familyês. Flooding wasnêt a problem until 2005. The city was founded in the early 1900ês .but it was grown lot over in 10 years. In that time the city built 3 new schools and a lot of homes. and it expended                    ,2,0,0,0
E 378,"In the past years the city of Charleston has experienced flooding that happens every time they get any type of heavy rainfall. The meteorologistês claim was,  Charlestonês flooding problems are due to the increases in developed land areas with impermeable surfaces. These floods have been occurring since 2005 and have happened every time they get heavy rainfall. In 1973 Charlestonês precipitation patterns were about the same as 2013ês patterns that makes me think if 1973 had these problems too. The meteorologist thinks that the only reason for the city flooding is the increase in the impermeable surfaces. I think he also needs to consider the amount of rainfall that Charleston is experiencing into consideration. Even though the meteorologistês claim is probably a major factor in the argument it is not the main factor. I think the meteorologist just needs to consider other reasons that have been causing the floods. The authors claim is incorrect because in the bar graph natural areas had the most land, then impermeable surfaces, then permeable surfaces. I think the authors claim should have been Charlestonês flooding problems are due to the rising amount of rainfall Charleston had been getting.",2,2,0,0
E 379,"The meteorologistês claim is inaccurate because rainfall totals have been just about as high as it was in 2005-2013. The rainfall totals may have played a small part in the flooding, but not much. The actual culprit of the flooding is developed-impermeable surfaces. There was a big uprising in the developing of them in the years between 2003 and 2013. Had the people of Charleston not built the buildings and sidewalks, maybe the city would not have flooded so badly. Had Charleston –built more land” to farm or plant flowers on, there would have been less runoff for floods. There would have been less property damage. Charleston would be a nice place if the was not a concrete jungle. Basically in conclusion, if Charleston had not developed impermeable land, there would have been les floods and runoff. ",,,,
E 380,The meteorologist is incorrect with her statement because there had been floods before they started improving land area. In 1963 there was it was around 50 and 60 and then dropped and stayed steadily then it raised then dropped down a little the increased  since. The meteorologist said that it has stayed steadily since 2005 then after it increased. But it has before because every year changes in the land area. Thereês not that much natural areas but thereês more developed-Permeable Surface area and impermeable because there taking the natural areas which could lead to little of flooding with the impermeable surface area. My statement is that the change of the area results to more flooding because the developed may be able to hold the percentage of flooding because there more able to hold more rain and snow fall the meteorologist thought that since the natural area is holding the rain and snow equal but the reasoned there was an increase was that that year there was more rain and snow that the new developed couldnêt hold  and thatês my claim that the new areas could have increased or decreased the annual average precipitation  each year.  ,,,,
E 381,"In Charleston an increase in population has lead the city to build more houses, sidewalks and wider roads. Rain has also slowly increased since 2005 and has led to floods every time it rains heavily. Every time it rains the inches of precipitation have increased and lead to more dangerous floods each time it rains. A local meteorologist claims that –The cause of Charlestonês flooding problem is the increased precipitation. The annual precipitation data shows that rain and snowfall in the area have increased steadily since about 2005. Flooding did not become a problem for the city until 2005. Therefore, increased precipitation has led to local flooding.” I believe that this is incorrect because if there werenêt any buildings then all of the rain would sink into natural areas (the ground) and therefore there would not be any flooding. I believe that the cause for Charlestonês flooding is all of the new developed land areas with impermeable surfaces for the same concept of if there werenêt any new buildings there wouldnêt be any or as much flooding.",2,4,2,1
E 382,"Charlestonês flooding problems are due to the increases in developed land areas with impermeable surfaces because in the developed- Impermiable surfaces in 1973 it was at 13 percentage then it stared to increase to 36 percentage in 2013. The Developed- impermeable surfaces are the areas that humans have created with materials that do not allow water to go through like sidewalks, buildings, and roads. When it rains all the water moves and it does not sock into the side walk because it has no where to go that the water turns into floods. The natural areas in 1973 were at 75 percentages that they decrease to 45 percentages in the year of 2013. The natural areas are spaces that have not been developed by humans like forest areas because the water socks into the underground and that they built more sidewalks and parking lots. The developed permeable surfaces are areas that humans have created with materials that allows water to go through like soccer fields covered with grass. That the permeable surfaces was at 12 percentage then it increase to 19 percentage. Then the citizens of Charleston have noticed that the city floods each time it rains heavily because when the people built the city that they did not make something that could carry the water to go through underground.    ",2,4,0,4
E 383,"Charlestonês flood happened because they do not have enough land area for water to go so they will have floods. Most of the floods leave a lot of damage behind. Every time it rains it HEAVILY poorês down. In 1963 there was an average of 50 inches of rain, in 20013 there was an average of 60 inches of rain. Charleston was not worried about the floods until 2005 but the floods have increased ever since. Citizens are concerned because floods can cause property damage. ",,,,
E 384,"The Charlestonês flooding problem is due to the fact the towns amount of impermeable surfaces are increasing.  The amount of precipitation has gone up a lot in recent years according to the graph of –Precipitation patterns in Charleston (1963-2013)”. According to the evidence provided by the graph the annual average of Charleston of precipitation in 2013 is 60 inches. Also if you take into consideration the graph –Changes in land Area Coverage in Charleston” the towns amount of developed-impermeable surfaces has gone up which allows the excess precipitation to flow freely, which would cause the towns flooding. The local meteorologist•s claim is inaccurate because the meteorologist did not take into consideration the graph –Changes in land Area Coverage in Charleston”. In that graph it states the townês amount of developed-impermeable surfaces has gone up, not just the precipitation. Due to the fact that the developed-impermeable also allow precipitation to flow, it would be a more accurate reason for the towns flooding problem. In conclusion, The Charleston Flooding problem is due to the townês amount of developed-impermeable surfaces, and not the precipitation amount.",,,,
E 385,–The meteorologist argument said that increased precipitation is the cause of local floods.” Also the claim is –Charlestonês flooding problem are due to the increases in developed land areas with impermeable surfaces” is inaccurate because impermeable surfaces are not supposed to let or allow water to get through them as stated in paragraph two.The claim –Charleston•s flooding problems are due to the increases in developed land areas with impermeable surfaces.” If there was less impermeable surfaces then the water would flow easier because if water flows then is not build up and make floods. Like when it rains in flat land the water flows and there is no floods thanks to nothing stopping the flow of the water. So the claim is accurate because without the buildings the heavy rain would be able to flow and then it canêt build up and cause a flood. Also the buildings donêt allow water to flow through them and not mess anything up and since if the water flows through the buildings and nothing inside the building gets messed up then there would be floods but I guess that is a little advanced or it is so in your face that it is invisible I donêt really know but with less buildings there will be less floods.,2,4,3,4
E 386,"Over the years since 1973, people of Charleston have built or used more buildings and things with developed-impermeable surfaces. Developed _Impermeable surfaces are areas that humans have created with materials that do not allow water to go through like sidewalks, buildings, and roads. When a middle school science class investigated the problem and got data, the results for their graph –Changes in land Area Coverage in Charleston” were in 1973 there was a 75% of a natural area, 12% of developed-permeable surfaces, and 13% of developed-impermeable surfaces; 1983 there was a 72% of natural areas, 13% of developed-permeable surfaces, and 15% of developed-impermeable surfaces: 1993 there was 67% of natural areas, 15% of developed-permeable surfaces, and 18% of developed-impermeable surfaces; 2003 there was 62% of natural area, 17% of developed-permeable surfaces, and 21% of developed-impermeable surfaces, and lastly in 2013 there was 45% of natural areas, 19% of developed-permeable surfaces, and 36% of developed-impermeable surfaces. Between 2003 and 2013 there is a huge decrease in natural areas and increase in developed permeable and impermeable surfaces. The meteorologistês argue that the cause of more flooding is because of more precipitation and rain but that is not the case, the case is the fact that the people of Charleston have been building and using more things that have materials that water from the rain cannot go through and they also have less natural areas for all the water to go to when it rains. In the information I stated above it shows that natural areas are decreasing through the years and more buildings are being built with materials that water canêt go through so the water is going to the streets and have no place to go, which causes Charleston to flood.",2,4,3,4
